Date,Price,Open,High,Low,Vol.,Change %
11/13/2024,237.63,241.31,241.47,237.59,8430000,-1.01%
11/12/2024,240.05,241.29,241.66,239.39,10150000,-0.86%
11/11/2024,242.14,242.73,242.73,241.06,11650000,-2.35%
11/8/2024,247.96,249.07,249.35,247.78,6270000,-0.68%
11/7/2024,249.65,248.29,250.24,248.12,8820000,1.61%
11/6/2024,245.7,245.63,247.35,244.95,14600000,-3.04%
11/5/2024,253.4,253.78,253.99,252.41,6030000,0.23%
11/4/2024,252.83,253.32,253.58,252.27,4580000,0.14%
11/1/2024,252.47,254.33,254.86,252.43,6470000,-0.41%
10/31/2024,253.51,255.52,255.6,252.2,9930000,-1.55%
10/30/2024,257.5,256.76,257.71,255.91,6390000,0.55%
10/29/2024,256.09,254.49,256.29,254.23,8880000,1.09%
10/28/2024,253.33,253.01,253.63,252.95,4030000,0.00%
10/25/2024,253.32,252.0,253.55,251.77,4420000,0.21%
10/24/2024,252.8,253.27,253.32,251.4,5960000,0.77%
10/23/2024,250.87,253.08,253.18,250.2,8080000,-1.21%
10/22/2024,253.93,253.06,253.94,252.52,5760000,1.08%
10/21/2024,251.22,252.74,253.14,250.73,9260000,-0.02%
10/18/2024,251.27,250.0,251.37,249.9,7830000,1.06%
10/17/2024,248.63,247.75,249.06,247.62,5180000,0.60%
10/16/2024,247.15,247.62,248.09,246.36,5430000,0.50%
10/15/2024,245.92,244.99,246.55,244.53,5640000,0.35%
10/14/2024,245.07,245.16,245.86,244.26,3920000,-0.16%
10/11/2024,245.47,244.5,245.92,244.47,5790000,1.09%
10/10/2024,242.82,241.77,243.02,241.51,4790000,0.73%
10/9/2024,241.05,241.16,241.84,240.64,4120000,-0.54%
10/8/2024,242.37,243.79,244.04,240.63,7670000,-0.74%
10/7/2024,244.17,244.58,244.82,243.81,3850000,-0.34%
10/4/2024,245.0,245.0,246.69,244.04,5950000,-0.20%
10/3/2024,245.49,244.72,245.91,243.69,5670000,-0.07%
10/2/2024,245.66,245.61,246.07,243.99,6800000,0.02%
10/1/2024,245.61,245.2,246.98,245.06,10610000,1.05%
9/30/2024,243.06,243.97,244.08,242.5,6920000,-0.80%
9/27/2024,245.02,246.31,246.75,244.19,8330000,-0.79%
9/26/2024,246.98,246.44,247.37,245.19,7040000,0.51%
9/25/2024,245.73,246.19,246.47,244.79,7390000,-0.14%
9/24/2024,246.07,243.39,246.19,243.15,8390000,1.40%
9/23/2024,242.68,242.97,243.46,242.59,5430000,0.19%
9/20/2024,242.21,241.11,242.63,240.47,7740000,1.27%
9/19/2024,239.17,238.24,239.51,237.39,6110000,1.55%
9/18/2024,235.51,238.19,240.29,235.3,11080000,-0.77%
9/17/2024,237.34,238.08,238.6,236.61,5260000,-0.55%
9/16/2024,238.66,238.73,239.28,238.05,4710000,-0.01%
9/13/2024,238.68,238.13,238.98,237.76,7460000,0.99%
9/12/2024,236.33,234.63,236.45,234.42,9940000,1.76%
9/11/2024,232.25,231.72,232.87,231.09,4640000,-0.16%
9/10/2024,232.62,232.39,232.74,231.12,4380000,0.44%
9/9/2024,231.6,231.26,231.62,230.39,3550000,0.42%
9/6/2024,230.63,231.83,232.76,229.62,6320000,-0.74%
9/5/2024,232.35,232.72,232.89,231.33,4840000,0.83%
9/4/2024,230.43,229.79,231.06,229.38,4700000,0.06%
9/3/2024,230.29,230.38,230.54,228.52,6420000,-0.43%
8/30/2024,231.29,232.53,232.86,230.55,5740000,-0.71%
8/29/2024,232.95,231.95,233.61,231.92,5520000,0.52%
8/28/2024,231.75,232.0,232.02,230.73,4960000,-0.70%
8/27/2024,233.39,231.69,233.47,231.57,4440000,0.27%
8/26/2024,232.76,233.45,233.5,232.06,3150000,0.32%
8/23/2024,232.02,231.04,232.73,230.52,5420000,1.16%
8/22/2024,229.37,230.35,230.38,228.26,5770000,-1.20%
8/21/2024,232.15,231.69,232.87,230.48,5340000,-0.13%
8/20/2024,232.46,233.71,234.01,231.13,9070000,0.37%
8/19/2024,231.61,230.15,231.78,229.74,5160000,-0.16%
8/16/2024,231.99,229.99,232.02,229.01,11920000,2.24%
8/15/2024,226.91,226.51,227.5,225.12,5270000,0.31%
8/14/2024,226.2,226.55,227.48,225.35,5460000,-0.82%
8/13/2024,228.06,228.07,228.87,227.59,6740000,-0.15%
8/12/2024,228.41,226.14,228.54,225.96,5560000,1.71%
8/9/2024,224.56,224.82,225.28,223.82,4440000,0.25%
8/8/2024,224.01,222.73,224.25,222.51,6330000,1.57%
8/7/2024,220.55,221.94,222.31,220.35,5290000,-0.07%
8/6/2024,220.7,221.5,222.14,220.11,14360000,-0.80%
8/5/2024,222.48,220.56,223.1,220.24,8940000,-1.27%
8/2/2024,225.34,227.95,228.76,222.87,11110000,-0.19%
8/1/2024,225.77,226.74,227.57,225.05,7220000,-0.34%
7/31/2024,226.55,223.73,226.6,223.64,7320000,1.81%
7/30/2024,222.52,221.41,222.92,220.35,4940000,1.00%
7/29/2024,220.32,221.26,221.55,219.04,4670000,-0.14%
7/26/2024,220.63,219.96,221.04,219.7,6330000,1.05%
7/25/2024,218.33,219.02,219.26,217.52,9780000,-1.56%
7/24/2024,221.8,223.47,224.88,221.74,6840000,-0.35%
7/23/2024,222.58,222.34,222.75,221.86,4440000,0.35%
7/22/2024,221.8,221.58,221.92,220.4,5330000,0.03%
7/19/2024,221.73,221.52,222.68,221.41,8670000,-1.79%
7/18/2024,225.78,227.71,228.32,225.57,5490000,-0.64%
7/17/2024,227.23,228.79,229.65,226.67,8620000,-0.46%
7/16/2024,228.29,225.45,228.29,225.3,11070000,1.99%
7/15/2024,223.83,223.39,225.59,223.02,5720000,0.32%
7/12/2024,223.11,222.03,223.62,221.86,5180000,-0.06%
7/11/2024,223.25,222.65,224.15,221.48,9320000,1.77%
7/10/2024,219.36,220.14,220.71,219.16,5560000,0.37%
7/9/2024,218.56,218.57,219.29,217.26,3900000,0.17%
7/8/2024,218.19,219.64,220.04,217.41,5790000,-1.24%
7/5/2024,220.93,219.58,221.28,219.58,5950000,1.35%
7/3/2024,217.99,217.34,218.74,217.33,5060000,1.13%
7/2/2024,215.56,215.33,216.08,214.62,4920000,0.00%
7/1/2024,215.57,215.25,216.0,214.49,3800000,0.26%
